english,uzbek,part_of_speech,cefr,cefr_source,source_name,source_license,source_ref
a,amper,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108363
pastor,pop|monax|vazir|ruhoniy|pop yordamchisi|protestant mazhabidagi ruhoniy,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89344
pastoral,cho'ponga oid|bukolikaga oid,adjective,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11250|i16253|i16471
pastry,pishiriq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76902|i76903
pastry dough,pishiriq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76903
pasturage,o't|maysa|yaylov|ko'k o't|maysazor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i100757|i78103
pasture,o't|maysa|yaylov|ko'k o't|maysazor|niaysazor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i78103|i82264
pasture brake,tormoz,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i105966
pasture land,niaysazor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i82264
pastureland,niaysazor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i82264
pasty,shirador|qayishqoq|yelimshiq|yopishqoq|egiluvchan|yelim-shak|yopishadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i2302|i277
pasty,pirog,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57042|i78584
pat,burro|tekis|silliq|jo'shqin|tep-tekis,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9889
pat,shapaloq solmoq|tarsillatib urmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27789|i27851
patch,dog'|qism|burda|fitna|ig'vo|yamoq|bo'lak|parcha|tomchi|yara bog'laydigan doka,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i117367|i50428|i53544|i56136|i57043|i60103|i61661|i70994|i82524
patch up,hal qilmoq|yarashtirmoq|tartibga solmoq|y o'lga qo'ymoq|murosaga keltirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25519
patchboard,kommutator,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i59891
patched,xol-xol|olachipor,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9823
patchwork,chatoqlik|chigallik|chalkashlik|Jikrlashdagi chalkashlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i68109
patchy,dog'li|xol-xol|olachipor,adjective,C2,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i4995
pate,bosh|kalla,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66030|i78484
patent,aniq|ayon|oydin|oshkora|ravshan|ochiq-oydin ko'rinib turgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i8858
patently,aniq|ravshan|shubhasiz,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18370
paternal,onalarcha|otaga oid|otaga tegishli|onalarga xos bo'lgan,adjective,C1,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i10803|i15565|i9451|i9520
paternity,otalik|mualliflik|ota bo'lish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i109495|i113638|i36667
path,yo'l|marshrut|yo'nalish|qatnov yo' l,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37589|i82265
pathetic,ojiz|ahmoq|faqir|qiziq|ayanch|bebaxt|g'arib|nochor|tentak|badbaxt|bechora|kulgili|aqli kam|ayanchli|la'sirli|achinarli|aqli zaif|qovushmagan|ko'ngilni yumshatadigan|mehr-shafqaini qo'zg'atadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i4165|i4957|i5749
pathfinder,razvedkachi|tadqiqotchi|tekshiruvchi|yo'l boshlovchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i92778
pathologic,bemor|betob|kasal|xasta|patologik|patologiyaga oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16257|i6429
pathological,bemor|betob|kasal|xasta|patologik|patologiyaga oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16257|i6429|i8689
pathologist,kasalni aniqlov-chi mutaxassis shifokor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89508
pathology,patologiya,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i111547|i68572
pathos,nordonlik|hamdard bo'lish|ta'mi o'tkirlik,noun,C1,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64354|i76458
pathway,biror muammoga bag'ishlangan ilmiy asar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i65726
patience,sabr|chidam|bardosh|o'zini tiyishlik,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37982|i61459
patient,bemor|kasal,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69753|i91896
patient role,bemor|kasal,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69753
patio,ayvon|peshayvon,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57055
patois,argo|jargon,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74277
patriarchal,qadimiy|qadimdan qolgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i15566|i9538
patrician,ko'k|moviy|muloyim|yumshoq|zangori,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i8712
patrician,oqsuyak|zodagon|patritsiy,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88288|i91902
patrikin,er tomonidan qarindosh,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90860
patrilineal kin,er tomonidan qarindosh,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90860
patrilineal sib,er tomonidan qarindosh,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90860
patrimonial,meros|meros qolgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7160
patriot,vatanparvar,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91904
patrioteer,shovinist|shovinizm tarafdori,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88935
patriotic,sodiq|sadoqatli|vatanparvarlik|vatanparvarlarcha|vatanparvarlik ruhi bilan sug'orilgan,adjective,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9556
patriotism,vatanparvarlik,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62620
patrisib,er tomonidan qarindosh,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i90860
patrol wagon,to'rt g'iIdirakli arava,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57512
patron,homiy|tarafdor|yoqlovchi|erga-shuvchi|yonini oluvchi,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91906|i91907|i91908
patronage,ish|kasb|hunar|savdo|sport|otaliq|yumush|homiylik|musobaqa|vasiylik|birinchilik|savdo-sotiq|himoya qilish|homiy bo'lish|ko'ngilchanlik|ko'ngli bo'shlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i41142|i41448|i41746|i71816|i81248
patronage,homiylik qilmoq|himoyasiga olmoq|soyasi ostiga olmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i26157
patronise,homiylik qilmoq|himoyasiga olmoq|soyasi ostiga olmoq|marhamat ko'rsat-moq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i26157|i26158|i32844|i34051
patronising,iltifotli|marhamatli|iltifot bilan qilingan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12955
patronize,homiylik qilmoq|himoyasiga olmoq|soyasi ostiga olmoq|marhamat ko'rsat-moq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i26157|i26158|i32844|i34051
patronizing,iltifotli|marhamatli|iltifot bilan qilingan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12955
patronym,otasining ismi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69768
patronymic,otasining ismi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69768
patsy,ahmoq|krujka|emadigan|onasidan ayrilmagan hayvon bolasi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88983
patten,to'siq|yog'och kavush,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i52033
patter,jargon|shartli til,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i73517|i75524
patter,tuflamoq|tupurmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i35470
pattern,ibrat|shakl|namuna|o'rnak|qiyofa|qurultoy|ust-bosh|ko'rinish|yig'ilish|boshqarish|hukmronlik|tashqi ko'rinish,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i37557|i52808|i66701|i67858|i67998|i68045|i73474|i81686
patterned advance,ko'tarilish|martabasi oshish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i81507
patty,tort|pirogcha|kichkina pirog,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76732|i76935|i77199
paunch,qorin,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66115
paunchy,semiz|yo'g'on|qorni katta,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i5399
pauper,faqir|bechora|qashshoq|kambag'al odam,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91913
pauperisation,qashshoqlashish|kambag'allashish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i41432
pauperism,ehtiyoj|faqirlik|muhiojlik|qashshoqlik|kambag'allik|qaslishoqlik|kam-bag'allik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113169
pauperization,ehtiyoj|faqirlik|muhiojlik|qashshoqlik|kambag'allik|qaslishoqlik|kam-bag'allik|qashshoqlashish|kambag'allashish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113169|i41432
pause,g'ov|teshik|to'siq|tanaffus|to'xtash|to'xlab olish|to'xtatib qo'yish|birmuncha vaqt to'xta-tish,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i117496|i40980
pause,ikkilanmoq|shubhalanmoq,verb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i34875
pave,tosh termoq|tosh yotqizmoq,verb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27987
pavilion,pavilyon|shiyponcha|katta chodir,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57064
pawl,it|tish|kuchuk|lo'kidon|saqlagich|suzilma zanjir,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57068
pawn,garov|qurol|vosita,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106863|i41223|i57069|i90717
pawnbroker's shop,lombard|garovxona,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57070
pawnshop,lombard|garovxona,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57070
pax,tinchlik ramzi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i71328
pay,maosh|oylik|to'lov|mablag'|ish haqi|ishlab topilgan pul,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106444
pay,bag'ishlamoq|mukofotlamoq,verb,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25360|i33002
pay back,o'matmoq|mahkamlamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27393
pay for,taklif qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i33678
pay heed,e'tibor bermoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i32607
pay off,o'matmoq|mahkamlamoq|mukofotlamoq|pul to'lab qaytarib olmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27393|i33002|i33021
pay out,to'lamoq|haq to'lamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i33239
payback,jazo|o'ch|qasd|qasos|intiqom,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i41868
payee,oluvchi|qabul qiluvchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91917
paygrade,baho|reyting|baholash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i112840
paying,foydali|daromadli,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i10272
paying attention,ziyrak|hushyor|diqqat bilan qaraydigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6531
paying attention,diqqat|edibor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66878
paying back,qaytarish|qaytib kelish|qaytarib berish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i41864
payload,yuk ortish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i51524
paymaster,kassachi|g'aznachi|xazinachi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91919
payment,to'lov|to'Iash|to'lanadigan summa,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106441|i41276|i41866
payoff,pora|foyda|hosil|kirim|daromad|mukofot|qaytarish|qaytib kelish|qaytarib berish|meva yig'im-terimi|pora berib sotib olish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106335|i106480|i75031
pct,foiz|foiz hisobidagi miqdor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i109515
pd,palladiy,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113980
pea green,likor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63094
pea jacket,bushlat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57076
peace,tinchlik|dam olish|orom olish|osoyishtalik|osoyish-talik|jamoal tartibi|hordiq chiqarish|istirohat qilish,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i110347|i110351|i113409|i72086|i76250
peace of mind,tinchlik|dam olish|orom olish|osoyishtalik|osoyish-talik|jamoal tartibi|hordiq chiqarish|istirohat qilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76250
peace treaty,tinchlik|osoyish-talik|jamoal tartibi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i72086
peace-loving,tinchliksevar|tinchlik tarafdori bo'lgan|tinchlikni yaxshi ko'radigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9566
peaceable,sokin|tinch|osoyishta|sulhparvar|tinchliksevar|tinchlik tarafdori bo'lgan|tinchlikni yaxshi ko'radigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i9560|i9564|i9566
peaceful,sulhparvar|tinchliksevar|tinchlikni yaxshi ko'radigan,adjective,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13937|i9560
peacefully,tinch|do'stona|tinch yo'l bilan|osoyishtalik bilan,adverb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18833
peacefulness,tinchlik|dam olish|orom olish|osoyishtalik|osoyish-talik|jamoal tartibi|hordiq chiqarish|istirohat qilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76250
peacekeeping,tinchlikni tiklash|tinchlikni qo'llab-quvvatlash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i40536
peacekeeping mission,tinchlikni tiklash|tinchlikni qo'llab-quvvatlash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i40536
peacekeeping operation,tinchlikni tiklash|tinchlikni qo'llab-quvvatlash,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i40536
peacemaker,yarashtiruvchi|murosaga keltiruvchi|tinchlik o'matuvchi shaxs,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89148
peacenik,kaptar|kabutar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89598
peach,idish|qopqon|shaftoli|kishina hayron qoldiradigan nusxa,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i103342|i63119|i77785|i93085
peach tree,shaftoli,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i103342
peachy,zebo|o'tkir|shinam|ko'rkam|kelishgan|qaqshatqich|yakson qiladigan|birinchi darajali,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6164
peacoat,bushlat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i57076
peacock,tovus,noun,C1,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i44801|i47513
peacock blue,feruza|akvamarin,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63104
peacock butterfly,tovus,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i47513
peag,chig'anoqdan bo'lgan marjon,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60942
peak,gul|uch|tepa|tong|shpil|oshish|cho'qqi|gullash|soyabon|ilk davr|tumshLiq|balandlik|ch o 'qqi|yuksaklik|ko'tarilish|sal turtish|tog' cho'qqisi|sal tegib ketish|eng yuqori nuqtasi,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108463|i110001|i110202|i117631|i50762|i82274|i82542
peaked,serurug',adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i14103
peaked cap,kepi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i55346
peaky,qirra|uchli|qirrali|nayzador|uchi o'tkir,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i6646
peal,jarang-jurung|qo'ng'iroqlar ovozi,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i32656|i32659
pean,madh|maqlov|maqtov|tasanno|madltiya|hamd-u sano|g'alaba qo'shig'i|haddan tashqari maqtov,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i71665|i73637
peanut,puch|mazmunsiz|ahamiyatsiz,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i8068
pear-shaped,semiz|to'liq|to'ladan kelgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7974
pearl,dur|inju|tomchi|marvarid,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106987|i109995|i63045
pearlescent,sadaf|kamalakdek|opalga oid|rang-barang|sadafga oid|kamalak rang|opaldan qilingan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1569
peasant,got|johil|nodon|dehqon|tarbiyasiz odam|yomon tarbiyalangan inson,noun,C1,Octanove C1/C2,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91924|i91925|i91926
peasantry,dehqonlar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i80140
peat bog,botqoq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i85105
pebble,shag'al|mayda tosh,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i85953
peccable,osiy|gunohli|gunohkor,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13948
peccadillo,beparvolik|e'tiborsizlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i39316
peccant,osiy|gunohli|gunohkor,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13948
